..\Mods\@RHSAFRF\rhs_2s1,2,	class rhs_2s1
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4422,	class RHS_2S1_Tracks_Turn_Soft_INT_SoundSet: Base_Tracks_Turn_Soft_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4430,	class RHS_2S1_Drive_Water_INT_SoundSet: Base_Drive_Water_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4438,	class RHS_2S1_Drive_Dirt_INT_SoundSet: Base_Drive_Dirt_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4446,	class RHS_2S1_Interior_Tone_Engine_Off_SoundSet: Vehicle_Base_Body_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4453,	class RHS_2S1_Interior_Tone_Engine_On_SoundSet: Vehicle_Base_Body_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4460,	class RHS_2S1_Rattling_INT_SoundSet: Vehicle_Base_Body_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4467,	class RHS_2S1_Rain_INT_SoundSet: Vehicle_Base_Body_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4475,	class RHS_2S1_Rain_EXT_SoundSet: Vehicle_Base_Body_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4483,	class RHS_T72_Engine_RPM0_EXT_SoundSet: Engine_Base_RPM0_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4493,	class RHS_T72_Engine_RPM1_EXT_SoundSet: Engine_Base_RPM0_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4504,	class RHS_T72_Engine_RPM2_EXT_SoundSet: Engine_Base_RPM0_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4515,	class RHS_T72_Engine_RPM0_INT_SoundSet: Engine_Base_RPM0_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4525,	class RHS_T72_Engine_RPM1_INT_SoundSet: Engine_Base_RPM0_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4536,	class RHS_T72_Engine_RPM2_INT_SoundSet: Engine_Base_RPM0_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4547,	class RHS_T72_Engine_EXT_Burst_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4566,	class RHS_T72_Engine_INT_Burst_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4585,	class RHS_T72_Tracks_01_EXT_SoundSet: Base_Tracks_01_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4593,	class RHS_T72_Tracks_02_EXT_SoundSet: Base_Tracks_02_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4601,	class RHS_T72_Tracks_03_EXT_SoundSet: Base_Tracks_03_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4609,	class RHS_T72_Tracks_04_EXT_SoundSet: Base_Tracks_04_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4617,	class RHS_T72_Tracks_05_EXT_SoundSet: Base_Tracks_05_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4625,	class RHS_T72_Tracks_06_EXT_SoundSet: Base_Tracks_06_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4633,	class RHS_T72_Tracks_Brake_Hard_EXT_SoundSet: Base_Tracks_Brake_Hard_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4641,	class RHS_T72_Tracks_Brake_Soft_EXT_SoundSet: Base_Tracks_Brake_Soft_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4649,	class RHS_T72_Tracks_Turn_Hard_EXT_SoundSet: Base_Tracks_Turn_Hard_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4657,	class RHS_T72_Tracks_Turn_Soft_EXT_SoundSet: Base_Tracks_Turn_Soft_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4665,	class RHS_T72_Drive_Water_EXT_SoundSet: Base_Drive_Water_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4673,	class RHS_T72_Drive_Dirt_EXT_SoundSet: Base_Drive_Dirt_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4681,	class RHS_T72_Tracks_01_INT_SoundSet: Base_Tracks_01_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4689,	class RHS_T72_Tracks_02_INT_SoundSet: Base_Tracks_02_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4697,	class RHS_T72_Tracks_03_INT_SoundSet: Base_Tracks_03_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4705,	class RHS_T72_Tracks_04_INT_SoundSet: Base_Tracks_04_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4713,	class RHS_T72_Tracks_05_INT_SoundSet: Base_Tracks_05_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4721,	class RHS_T72_Tracks_06_INT_SoundSet: Base_Tracks_06_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4729,	class RHS_T72_Tracks_Brake_Hard_INT_SoundSet: Base_Tracks_Brake_Hard_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4737,	class RHS_T72_Tracks_Brake_Soft_INT_SoundSet: Base_Tracks_Brake_Soft_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4745,	class RHS_T72_Tracks_Turn_Hard_INT_SoundSet: Base_Tracks_Turn_Hard_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4753,	class RHS_T72_Tracks_Turn_Soft_INT_SoundSet: Base_Tracks_Turn_Soft_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4761,	class RHS_T72_Drive_Water_INT_SoundSet: Base_Drive_Water_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4769,	class RHS_T72_Drive_Dirt_INT_SoundSet: Base_Drive_Dirt_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4777,	class RHS_T72_Interior_Tone_Engine_Off_SoundSet: Vehicle_Base_Body_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4784,	class RHS_T72_Interior_Tone_Engine_On_SoundSet: Vehicle_Base_Body_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4791,	class RHS_T72_Rattling_INT_SoundSet: Vehicle_Base_Body_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4798,	class RHS_T72_Rain_INT_SoundSet: Vehicle_Base_Body_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4806,	class RHS_T72_Rain_EXT_SoundSet: Vehicle_Base_Body_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4814,	class RHS_T80_Engine_RPM0_EXT_SoundSet: Engine_Base_RPM0_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4824,	class RHS_T80_Engine_RPM1_EXT_SoundSet: Engine_Base_RPM0_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4835,	class RHS_T80_Engine_RPM2_EXT_SoundSet: Engine_Base_RPM0_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4846,	class RHS_T80_Engine_RPM0_INT_SoundSet: Engine_Base_RPM0_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4856,	class RHS_T80_Engine_RPM1_INT_SoundSet: Engine_Base_RPM0_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4867,	class RHS_T80_Engine_RPM2_INT_SoundSet: Engine_Base_RPM0_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4878,	class RHS_T80_Engine_EXT_Burst_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4897,	class RHS_T80_Engine_INT_Burst_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4916,	class RHS_T80_Tracks_01_EXT_SoundSet: Base_Tracks_01_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4924,	class RHS_T80_Tracks_02_EXT_SoundSet: Base_Tracks_02_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4932,	class RHS_T80_Tracks_03_EXT_SoundSet: Base_Tracks_03_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4940,	class RHS_T80_Tracks_04_EXT_SoundSet: Base_Tracks_04_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4948,	class RHS_T80_Tracks_05_EXT_SoundSet: Base_Tracks_05_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4956,	class RHS_T80_Tracks_06_EXT_SoundSet: Base_Tracks_06_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4964,	class RHS_T80_Tracks_Brake_Hard_EXT_SoundSet: Base_Tracks_Brake_Hard_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4972,	class RHS_T80_Tracks_Brake_Soft_EXT_SoundSet: Base_Tracks_Brake_Soft_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4980,	class RHS_T80_Tracks_Turn_Hard_EXT_SoundSet: Base_Tracks_Turn_Hard_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4988,	class RHS_T80_Tracks_Turn_Soft_EXT_SoundSet: Base_Tracks_Turn_Soft_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,4996,	class RHS_T80_Drive_Water_EXT_SoundSet: Base_Drive_Water_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5004,	class RHS_T80_Drive_Dirt_EXT_SoundSet: Base_Drive_Dirt_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5012,	class RHS_T80_Tracks_01_INT_SoundSet: Base_Tracks_01_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5020,	class RHS_T80_Tracks_02_INT_SoundSet: Base_Tracks_02_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5028,	class RHS_T80_Tracks_03_INT_SoundSet: Base_Tracks_03_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5036,	class RHS_T80_Tracks_04_INT_SoundSet: Base_Tracks_04_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5044,	class RHS_T80_Tracks_05_INT_SoundSet: Base_Tracks_05_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5052,	class RHS_T80_Tracks_06_INT_SoundSet: Base_Tracks_06_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5060,	class RHS_T80_Tracks_Brake_Hard_INT_SoundSet: Base_Tracks_Brake_Hard_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5068,	class RHS_T80_Tracks_Brake_Soft_INT_SoundSet: Base_Tracks_Brake_Soft_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5076,	class RHS_T80_Tracks_Turn_Hard_INT_SoundSet: Base_Tracks_Turn_Hard_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5084,	class RHS_T80_Tracks_Turn_Soft_INT_SoundSet: Base_Tracks_Turn_Soft_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5092,	class RHS_T80_Drive_Water_INT_SoundSet: Base_Drive_Water_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5100,	class RHS_T80_Drive_Dirt_INT_SoundSet: Base_Drive_Dirt_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5108,	class RHS_T80_Interior_Tone_Engine_Off_SoundSet: Vehicle_Base_Body_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5115,	class RHS_T80_Interior_Tone_Engine_On_SoundSet: Vehicle_Base_Body_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5122,	class RHS_T80_Rattling_INT_SoundSet: Vehicle_Base_Body_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5129,	class RHS_T80_Rain_INT_SoundSet: Vehicle_Base_Body_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5137,	class RHS_T80_Rain_EXT_SoundSet: Vehicle_Base_Body_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5145,	class RHS_UAZ469_Engine_RPM0_EXT_SoundSet: Engine_Base_RPM0_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5155,	class RHS_UAZ469_Engine_RPM1_EXT_SoundSet: Engine_Base_RPM0_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5166,	class RHS_UAZ469_Engine_RPM2_EXT_SoundSet: Engine_Base_RPM0_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5177,	class RHS_UAZ469_Engine_RPM3_EXT_SoundSet: Engine_Base_RPM0_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5188,	class RHS_UAZ469_Engine_RPM0_INT_SoundSet: Engine_Base_RPM0_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5198,	class RHS_UAZ469_Engine_RPM1_INT_SoundSet: Engine_Base_RPM0_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5209,	class RHS_UAZ469_Engine_RPM2_INT_SoundSet: Engine_Base_RPM0_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5220,	class RHS_UAZ469_Engine_RPM3_INT_SoundSet: Engine_Base_RPM0_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5231,	class RHS_UAZ469_Engine_EXT_Burst_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5250,	class RHS_UAZ469_Engine_INT_Burst_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5269,	class RHS_UAZ469_Tires_Rock_Fast_INT_SoundSet: Base_Tires_Rock_Fast_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5277,	class RHS_UAZ469_Tires_Grass_Fast_INT_SoundSet: Base_Tires_Grass_Fast_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5285,	class RHS_UAZ469_Tires_Sand_Fast_INT_SoundSet: Base_Tires_Sand_Fast_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5293,	class RHS_UAZ469_Tires_Gravel_Fast_INT_SoundSet: Base_Tires_Gravel_Fast_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5301,	class RHS_UAZ469_Tires_Mud_Fast_INT_SoundSet: Base_Tires_Mud_Fast_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5309,	class RHS_UAZ469_Tires_Asphalt_Fast_INT_SoundSet: Base_Tires_Asphalt_Fast_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5317,	class RHS_UAZ469_Tires_Water_Fast_INT_SoundSet: Base_Tires_Water_Fast_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5325,	class RHS_UAZ469_Tires_Rock_Slow_INT_SoundSet: Base_Tires_Rock_Slow_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5333,	class RHS_UAZ469_Tires_Grass_Slow_INT_SoundSet: Base_Tires_Grass_Slow_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5341,	class RHS_UAZ469_Tires_Sand_Slow_INT_SoundSet: Base_Tires_Sand_Slow_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5349,	class RHS_UAZ469_Tires_Gravel_Slow_INT_SoundSet: Base_Tires_Gravel_Slow_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5357,	class RHS_UAZ469_Tires_Mud_Slow_INT_SoundSet: Base_Tires_Mud_Slow_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5365,	class RHS_UAZ469_Tires_Asphalt_Slow_INT_SoundSet: Base_Tires_Asphalt_Slow_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5373,	class RHS_UAZ469_Tires_Water_Slow_INT_SoundSet: Base_Tires_Water_Slow_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5381,	class RHS_UAZ469_Tires_Turn_Hard_INT_SoundSet: Base_Tires_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5389,	class RHS_UAZ469_Tires_Turn_Soft_INT_SoundSet: Base_Tires_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5397,	class RHS_UAZ469_Tires_Brake_Hard_INT_SoundSet: Base_Tires_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5405,	class RHS_UAZ469_Tires_Brake_Soft_INT_SoundSet: Base_Tires_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5413,	class RHS_UAZ469_Tires_Rock_Fast_EXT_SoundSet: Base_Tires_Rock_Fast_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5421,	class RHS_UAZ469_Tires_Grass_Fast_EXT_SoundSet: Base_Tires_Grass_Fast_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5429,	class RHS_UAZ469_Tires_Sand_Fast_EXT_SoundSet: Base_Tires_Sand_Fast_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5437,	class RHS_UAZ469_Tires_Gravel_Fast_EXT_SoundSet: Base_Tires_Gravel_Fast_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5445,	class RHS_UAZ469_Tires_Mud_Fast_EXT_SoundSet: Base_Tires_Mud_Fast_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5453,	class RHS_UAZ469_Tires_Asphalt_Fast_EXT_SoundSet: Base_Tires_Asphalt_Fast_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5461,	class RHS_UAZ469_Tires_Water_Fast_EXT_SoundSet: Base_Tires_Water_Fast_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5469,	class RHS_UAZ469_Tires_Rock_Slow_EXT_SoundSet: Base_Tires_Rock_Slow_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5477,	class RHS_UAZ469_Tires_Grass_Slow_EXT_SoundSet: Base_Tires_Grass_Slow_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5485,	class RHS_UAZ469_Tires_Sand_Slow_EXT_SoundSet: Base_Tires_Sand_Slow_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5493,	class RHS_UAZ469_Tires_Gravel_Slow_EXT_SoundSet: Base_Tires_Gravel_Slow_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5501,	class RHS_UAZ469_Tires_Mud_Slow_EXT_SoundSet: Base_Tires_Mud_Slow_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5509,	class RHS_UAZ469_Tires_Asphalt_Slow_EXT_SoundSet: Base_Tires_Asphalt_Slow_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5517,	class RHS_UAZ469_Tires_Water_Slow_EXT_SoundSet: Base_Tires_Water_Slow_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5525,	class RHS_UAZ469_Tires_Turn_Hard_EXT_SoundSet: Base_Tires_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5533,	class RHS_UAZ469_Tires_Turn_Soft_EXT_SoundSet: Base_Tires_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5541,	class RHS_UAZ469_Tires_Brake_Hard_EXT_SoundSet: Base_Tires_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5549,	class RHS_UAZ469_Tires_Brake_Soft_EXT_SoundSet: Base_Tires_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5557,	class RHS_UAZ469_Rattling_INT_SoundSet: Vehicle_Base_Body_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5564,	class RHS_UAZ469_Stress_INT_SoundSet: Vehicle_Base_Body_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5571,	class RHS_UAZ469_Rain_INT_SoundSet: Vehicle_Base_Body_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5579,	class RHS_UAZ469_Rattling_EXT_SoundSet: Vehicle_Base_Body_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5587,	class RHS_UAZ469_Stress_EXT_SoundSet: Vehicle_Base_Body_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5595,	class RHS_UAZ469_Rain_EXT_SoundSet: Vehicle_Base_Body_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5603,	class RHS_OTR21_Engine_RPM0_EXT_SoundSet: Engine_Base_RPM0_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5613,	class RHS_OTR21_Engine_RPM1_EXT_SoundSet: Engine_Base_RPM0_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5624,	class RHS_OTR21_Engine_RPM2_EXT_SoundSet: Engine_Base_RPM0_EXT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5635,	class RHS_OTR21_Engine_RPM0_INT_SoundSet: Engine_Base_RPM0_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5645,	class RHS_OTR21_Engine_RPM1_INT_SoundSet: Engine_Base_RPM0_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5656,	class RHS_OTR21_Engine_RPM2_INT_SoundSet: Engine_Base_RPM0_INT_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5667,	class RHS_OTR21_Engine_EXT_Burst_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5686,	class RHS_OTR21_Engine_INT_Burst_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5705,	class RHS_OTR21_Tires_Rock_Fast_INT_SoundSet: Base_Tires_Rock_Fast_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5713,	class RHS_OTR21_Tires_Grass_Fast_INT_SoundSet: Base_Tires_Grass_Fast_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5721,	class RHS_OTR21_Tires_Sand_Fast_INT_SoundSet: Base_Tires_Sand_Fast_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5729,	class RHS_OTR21_Tires_Gravel_Fast_INT_SoundSet: Base_Tires_Gravel_Fast_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5737,	class RHS_OTR21_Tires_Mud_Fast_INT_SoundSet: Base_Tires_Mud_Fast_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5745,	class RHS_OTR21_Tires_Asphalt_Fast_INT_SoundSet: Base_Tires_Asphalt_Fast_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5753,	class RHS_OTR21_Tires_Water_Fast_INT_SoundSet: Base_Tires_Water_Fast_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5761,	class RHS_OTR21_Tires_Rock_Slow_INT_SoundSet: Base_Tires_Rock_Slow_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5769,	class RHS_OTR21_Tires_Grass_Slow_INT_SoundSet: Base_Tires_Grass_Slow_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5777,	class RHS_OTR21_Tires_Sand_Slow_INT_SoundSet: Base_Tires_Sand_Slow_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5785,	class RHS_OTR21_Tires_Gravel_Slow_INT_SoundSet: Base_Tires_Gravel_Slow_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5793,	class RHS_OTR21_Tires_Mud_Slow_INT_SoundSet: Base_Tires_Mud_Slow_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5801,	class RHS_OTR21_Tires_Asphalt_Slow_INT_SoundSet: Base_Tires_Asphalt_Slow_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5809,	class RHS_OTR21_Tires_Water_Slow_INT_SoundSet: Base_Tires_Water_Slow_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5817,	class RHS_OTR21_Tires_Turn_Hard_INT_SoundSet: Base_Tires_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5825,	class RHS_OTR21_Tires_Turn_Soft_INT_SoundSet: Base_Tires_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5833,	class RHS_OTR21_Tires_Brake_Hard_INT_SoundSet: Base_Tires_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5841,	class RHS_OTR21_Tires_Brake_Soft_INT_SoundSet: Base_Tires_Int_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5849,	class RHS_OTR21_Tires_Rock_Fast_EXT_SoundSet: Base_Tires_Rock_Fast_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5857,	class RHS_OTR21_Tires_Grass_Fast_EXT_SoundSet: Base_Tires_Grass_Fast_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5865,	class RHS_OTR21_Tires_Sand_Fast_EXT_SoundSet: Base_Tires_Sand_Fast_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5873,	class RHS_OTR21_Tires_Gravel_Fast_EXT_SoundSet: Base_Tires_Gravel_Fast_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5881,	class RHS_OTR21_Tires_Mud_Fast_EXT_SoundSet: Base_Tires_Mud_Fast_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5889,	class RHS_OTR21_Tires_Asphalt_Fast_EXT_SoundSet: Base_Tires_Asphalt_Fast_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5897,	class RHS_OTR21_Tires_Water_Fast_EXT_SoundSet: Base_Tires_Water_Fast_Ext_SoundSet
..\Mods\@RHSAFRF\rhs_c_vehiclesounds,5905,	class RHS_OTR21_Tires_Rock_Slow_EXT_SoundSet: Base_Tires_Rock_Slow_Ext_SoundSet
